metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
cds.emc.isilon.cluster_overview.disk_usage,gauge,,,,This shows the available and used hdd and ssd data in disk,0,crest_data_systems_dell_emc_isilon,DiskUsage
cds.emc.isilon.cluster_overview.fileSystem_throughput_over_time,gauge,,,,This shows the inbound and outbound traffic on file system over time,0,crest_data_systems_dell_emc_isilon,FileSystemThroughputOverTime
cds.emc.isilon.cluster_overview.cpu_usage_over_time,gauge,,,,This shows the usage of CPU by user and system over time,0,crest_data_systems_dell_emc_isilon,CpuUsageUverTime
cds.emc.isilon.cluster_overview.client_connections_over_time,gauge,,,,This shows the client connections over time by node id,0,crest_data_systems_dell_emc_isilon,ClientConnectionsOverTime
cds.emc.isilon.cluster_overview.external_network_throughput_rate_over_time,gauge,,,,This shows the throughput rate over time,0,crest_data_systems_dell_emc_isilon,ExternalNetworkThroughputRateOverTime
cds.emc.isilon.cluster_overview.cluster_disk_usage_over_time,gauge,,,,This shows the total disk usage over time,0,crest_data_systems_dell_emc_isilon,ClusterDiskUsageOverTime
cds.emc.isilon.node_details.disk_usage_over_time,gauge,,,,This shows the total disk usage over time by node id,0,crest_data_systems_dell_emc_isilon,DiskUsageOverTime
cds.emc.isilon.node_details.external_network_throughput,gauge,,,,This shows the external throughput rate by node id,0,crest_data_systems_dell_emc_isilon,ExternalNetworkThroughput
cds.emc.isilon.node_details.cpu_usage_over_time,gauge,,,,This shows the total cpu usage over time,0,crest_data_systems_dell_emc_isilon,CpuUsageOverTime
cds.emc.isilon.node_details.disk_usage,gauge,,,,This shows the free and used disk in GB,0,crest_data_systems_dell_emc_isilon,DiskUsage
cds.emc.isilon.node_details.memory_usage,gauge,,,,This shows the memory free and memory used in GB,0,crest_data_systems_dell_emc_isilon,MemoryUsage
cds.emc.isilon.node_details.file_system_throughput,gauge,,,,This shows the file system throughput rate,0,crest_data_systems_dell_emc_isilon,FileSystemThroughput
cds.emc.isilon.protocol_details.operations_rate_over_time,gauge,,,,This shows the total operation rate over time,0,crest_data_systems_dell_emc_isilon,OperationsRateOverTime
cds.emc.isilon.protocol_details.latency,gauge,,,,This shows the latency in seconds,0,crest_data_systems_dell_emc_isilon,Latency
cds.emc.isilon.protocol_details.client_connections,gauge,,,,This shows the active and connected client connection,0,crest_data_systems_dell_emc_isilon,ClientConnections
cds.emc.isilon.protocol_details.iops,gauge,,,,This shows the in-rate and out-rate of IOPS,0,crest_data_systems_dell_emc_isilon,IOPS
cds.emc.isilon.file_system_performance.file_system_performance_by_node_over_time,gauge,,,,This shows the file system performance by node id,0,crest_data_systems_dell_emc_isilon,FileSystemPerformanceByNodeOverTime
cds.emc.isilon.file_system_performance.event_rate_by_event_type_over_time,gauge,,,,This shows the event rate by event types,0,crest_data_systems_dell_emc_isilon,EventRateByEventTypeOverTime
cds.emc.isilon.file_system_performance.event_rate_by_node_over_time_for_critical_events,gauge,,,,This shows the event rate by for critical events,0,crest_data_systems_dell_emc_isilon,EventRateByNodeOverTimeForCriticalEvents
cds.emc.isilon.file_system_performance.file_system_critical_events,gauge,,,,This shows the file system critical events,0,crest_data_systems_dell_emc_isilon,FileSystemCriticalEvents
cds.emc.isilon.file_system_cache_performance.file_system_cached_data_age,gauge,,,,This shows the cached data age of file system in hours,0,crest_data_systems_dell_emc_isilon,FileSystemCachedDataAge
cds.emc.isilon.file_system_cache_performance.l2_cache_hit_rate,gauge,,,,This shows the l2 cache hit rate of file,0,crest_data_systems_dell_emc_isilon,L2CacheHitRate
cds.emc.isilon.file_system_cache_performance.l2_cache_miss_rate,gauge,,,,This shows the l2 cache miss rate of file,0,crest_data_systems_dell_emc_isilon,L2CacheMissRate
cds.emc.isilon.file_system_cache_performance.l2_cache_read_wait_time,gauge,,,,This shows the l2 cache read wait time rate of file,0,crest_data_systems_dell_emc_isilon,L2CacheReadWaitTime
cds.emc.isilon.file_system_cache_performance.l2_cache_prefetch_hit_rate,gauge,,,,This shows the L2 cache prefetch hit rate of file,0,crest_data_systems_dell_emc_isilon,L2CachePrefetchHitRate
cds.emc.isilon.cluster_inventory.node_details.in_bytes,gauge,,,,This shows the inrate of node,0,crest_data_systems_dell_emc_isilon,InBytes
cds.emc.isilon.cluster_inventory.node_details.out_bytes,gauge,,,,This shows the outrate of node,0,crest_data_systems_dell_emc_isilon,OutBytes
cds.emc.isilon.cluster_inventory.node_details.total_bytes,gauge,,,,This shows the total rate of node,0,crest_data_systems_dell_emc_isilon,TotalBytes
cds.emc.isilon.cluster_inventory.node_details.hdd_size,gauge,,,,This shows the hdd size of node,0,crest_data_systems_dell_emc_isilon,HDDSize
cds.emc.isilon.cluster_inventory.node_details.hdd_used_percentage,gauge,,,,This shows the hdd used percentage of node,0,crest_data_systems_dell_emc_isilon,HDDUsedPercentage
cds.emc.isilon.cluster_inventory.node_details.ssd_size,gauge,,,,This shows the ssd size of node,0,crest_data_systems_dell_emc_isilon,SSDSize
cds.emc.isilon.cluster_inventory.node_details.ssd_used_percentage,gauge,,,,This shows the ssd used percentage of node,0,crest_data_systems_dell_emc_isilon,SSDUsedPercentage
cds.emc.isilon.cluster_inventory.storage_drive_details,gauge,,,,This shows the storage drive details of node,0,crest_data_systems_dell_emc_isilon,StorageDriveDetails
cds.emc.isilon.cluster_inventory.storage_tiers.disk_used,gauge,,,,This shows the disk used in storage tier,0,crest_data_systems_dell_emc_isilon,DiskUsed
cds.emc.isilon.cluster_inventory.storage_tiers.total_disk,gauge,,,,This shows the total disk of storage tiers,0,crest_data_systems_dell_emc_isilon,TotalDisk
cds.emc.isilon.cluster_inventory.storage_tiers.virtual_hot_spare,gauge,,,,This shows the virtual hot spare of storage tiers,0,crest_data_systems_dell_emc_isilon,VirtualHotSpare
cds.emc.isilon.cluster_inventory.storage_tiers.ssd_used,gauge,,,,This shows the ssd used in storage tiers,0,crest_data_systems_dell_emc_isilon,SSDUsed
cds.emc.isilon.cluster_inventory.storage_tiers.total_ssd,gauge,,,,This shows the total ssd of storage tiers,0,crest_data_systems_dell_emc_isilon,TotalSSD
cds.emc.isilon.cluster_inventory.node_pools.disk_used,gauge,,,,This shows the disk used in node pools,0,crest_data_systems_dell_emc_isilon,DiskUsed
cds.emc.isilon.cluster_inventory.node_pools.total_disk,gauge,,,,This shows the total disk of node pools,0,crest_data_systems_dell_emc_isilon,TotalDisk
cds.emc.isilon.cluster_inventory.node_pools.virtual_hot_spare,gauge,,,,This shows the virtual hot spare of node pools,0,crest_data_systems_dell_emc_isilon,VirtualHotSpare
